episode_id,backend,model,persona,status,parse_ok,valid_raw_ranked,valid_repaired_ranked,n_expected,n_raw_ranked,n_repaired_ranked,n_duplicates,n_missing,duplicates,missing,repaired_admitted_ids,repaired_ranked_ids,model_name,baseline_admitted_ids,topk_overlap,bounded_topk_drift,jaccard_drift
E00001,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000166', 'P000132', 'P000071', 'P000022']","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000039"", ""P000134"", ""P000143"", ""P000213"", ""P000192""]",llama3.1:8b,"['P000166', 'P000132', 'P000071', 'P000022']",1.0,0.0,0.0
E00001,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000166', 'P000132', 'P000071', 'P000022']","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000039"", ""P000134"", ""P000143"", ""P000213"", ""P000192""]",llama3.1:8b,"['P000166', 'P000132', 'P000071', 'P000022']",1.0,0.0,0.0
E00001,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000166', 'P000132', 'P000071', 'P000022']","[""P000166"", ""P000132"", ""P000071"", ""P000022"", ""P000122"", ""P000131"", ""P000076"", ""P000039"", ""P000134"", ""P000143"", ""P000213"", ""P000192""]",llama3.1:8b,"['P000166', 'P000132', 'P000071', 'P000022']",1.0,0.0,0.0
E00002,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000151', 'P000019', 'P000170', 'P000025']","[""P000151"", ""P000019"", ""P000170"", ""P000025"", ""P000095"", ""P000185"", ""P000067"", ""P000099"", ""P000035"", ""P000077"", ""P000085"", ""P000050""]",llama3.1:8b,"['P000151', 'P000019', 'P000025', 'P000185']",0.75,0.25,0.4
E00002,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000151', 'P000170', 'P000185', 'P000099']","[""P000151"", ""P000170"", ""P000185"", ""P000099"", ""P000095"", ""P000050"", ""P000085"", ""P000035"", ""P000077"", ""P000067"", ""P000019"", ""P000025""]",llama3.1:8b,"['P000151', 'P000019', 'P000025', 'P000185']",0.5,0.5,0.6666666666666667
E00002,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000170', 'P000151', 'P000019', 'P000025']","[""P000170"", ""P000151"", ""P000019"", ""P000025"", ""P000095"", ""P000035"", ""P000185"", ""P000067"", ""P000099"", ""P000085"", ""P000077"", ""P000050""]",llama3.1:8b,"['P000151', 'P000019', 'P000025', 'P000185']",0.75,0.25,0.4
E00003,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000004', 'P000181', 'P000179', 'P000127']","[""P000004"", ""P000181"", ""P000179"", ""P000127"", ""P000155"", ""P000216"", ""P000031"", ""P000072"", ""P000069"", ""P000086"", ""P000030"", ""P000104""]",llama3.1:8b,"['P000004', 'P000181', 'P000179', 'P000127']",1.0,0.0,0.0
E00003,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000004', 'P000181', 'P000179', 'P000127']","[""P000004"", ""P000181"", ""P000179"", ""P000127"", ""P000155"", ""P000216"", ""P000031"", ""P000072"", ""P000069"", ""P000086"", ""P000030"", ""P000104""]",llama3.1:8b,"['P000004', 'P000181', 'P000179', 'P000127']",1.0,0.0,0.0
E00003,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000004', 'P000181', 'P000179', 'P000127']","[""P000004"", ""P000181"", ""P000179"", ""P000127"", ""P000155"", ""P000216"", ""P000031"", ""P000072"", ""P000069"", ""P000086"", ""P000030"", ""P000104""]",llama3.1:8b,"['P000004', 'P000181', 'P000179', 'P000127']",1.0,0.0,0.0
E00004,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000054', 'P000136', 'P000210', 'P000159']","[""P000054"", ""P000136"", ""P000210"", ""P000159"", ""P000020"", ""P000002"", ""P000160"", ""P000161"", ""P000186"", ""P000189"", ""P000037"", ""P000012""]",llama3.1:8b,"['P000054', 'P000136', 'P000210', 'P000002']",0.75,0.25,0.4
E00004,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000054', 'P000136', 'P000210', 'P000037']","[""P000054"", ""P000136"", ""P000210"", ""P000037"", ""P000020"", ""P000002"", ""P000160"", ""P000159"", ""P000012"", ""P000189"", ""P000161"", ""P000186""]",llama3.1:8b,"['P000054', 'P000136', 'P000210', 'P000002']",0.75,0.25,0.4
E00004,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000054', 'P000002', 'P000160', 'P000159']","[""P000054"", ""P000002"", ""P000160"", ""P000159"", ""P000136"", ""P000210"", ""P000037"", ""P000020"", ""P000189"", ""P000161"", ""P000186"", ""P000012""]",llama3.1:8b,"['P000054', 'P000136', 'P000210', 'P000002']",0.5,0.5,0.6666666666666667
E00005,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000124', 'P000109', 'P000202', 'P000083']","[""P000124"", ""P000109"", ""P000202"", ""P000083"", ""P000212"", ""P000027"", ""P000061"", ""P000080"", ""P000176"", ""P000126"", ""P000162"", ""P000140""]",llama3.1:8b,"['P000124', 'P000109', 'P000202', 'P000083']",1.0,0.0,0.0
E00005,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000124', 'P000109', 'P000202', 'P000083']","[""P000124"", ""P000109"", ""P000202"", ""P000083"", ""P000212"", ""P000027"", ""P000061"", ""P000176"", ""P000126"", ""P000162"", ""P000140"", ""P000080""]",llama3.1:8b,"['P000124', 'P000109', 'P000202', 'P000083']",1.0,0.0,0.0
E00005,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000109', 'P000202', 'P000083', 'P000140']","[""P000109"", ""P000202"", ""P000083"", ""P000140"", ""P000124"", ""P000212"", ""P000027"", ""P000061"", ""P000176"", ""P000126"", ""P000162"", ""P000080""]",llama3.1:8b,"['P000124', 'P000109', 'P000202', 'P000083']",0.75,0.25,0.4
E00006,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000038', 'P000165', 'P000196', 'P000121']","[""P000038"", ""P000165"", ""P000196"", ""P000121"", ""P000147"", ""P000206"", ""P000141"", ""P000100"", ""P000024"", ""P000008"", ""P000180"", ""P000060""]",llama3.1:8b,"['P000038', 'P000165', 'P000196', 'P000206']",0.75,0.25,0.4
E00006,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000038', 'P000165', 'P000196', 'P000206']","[""P000038"", ""P000165"", ""P000196"", ""P000206"", ""P000147"", ""P000121"", ""P000141"", ""P000060"", ""P000100"", ""P000024"", ""P000008"", ""P000180""]",llama3.1:8b,"['P000038', 'P000165', 'P000196', 'P000206']",1.0,0.0,0.0
E00006,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000038', 'P000165', 'P000196', 'P000121']","[""P000038"", ""P000165"", ""P000196"", ""P000121"", ""P000147"", ""P000206"", ""P000141"", ""P000100"", ""P000024"", ""P000008"", ""P000180"", ""P000060""]",llama3.1:8b,"['P000038', 'P000165', 'P000196', 'P000206']",0.75,0.25,0.4
E00007,ollama,llama3.1:8b,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"['P000101', 'P000139', 'P000068', 'P000005']","[""P000101"", ""P000139"", ""P000068"", ""P000005"", ""P000075"", ""P000015"", ""P000029"", ""P000203"", ""P000156"", ""P000014"", ""P000150"", ""P000098""]",llama3.1:8b,"['P000101', 'P000139', 'P000068', 'P000005']",1.0,0.0,0.0
E00007,ollama,llama3.1:8b,revenue,ok,0,1,1,12,12,12,0,0,[],[],"['P000101', 'P000139', 'P000068', 'P000005']","[""P000101"", ""P000139"", ""P000068"", ""P000005"", ""P000015"", ""P000029"", ""P000203"", ""P000150"", ""P000098"", ""P000156"", ""P000075"", ""P000014""]",llama3.1:8b,"['P000101', 'P000139', 'P000068', 'P000005']",1.0,0.0,0.0
E00007,ollama,llama3.1:8b,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"['P000101', 'P000139', 'P000068', 'P000005']","[""P000101"", ""P000139"", ""P000068"", ""P000005"", ""P000075"", ""P000015"", ""P000029"", ""P000203"", ""P000156"", ""P000014"", ""P000150"", ""P000098""]",llama3.1:8b,"['P000101', 'P000139', 'P000068', 'P000005']",1.0,0.0,0.0
