episode_id,backend,model,persona,status,timestamp_utc,parse_ok,n_admitted,admitted_ids,ranked_ids,response_text
E00001,ollama,llama3.2:latest,none,ok,2026-04-24T01:08:56.473477+00:00,1,4,"[""P000039"", ""P000143"", ""P000131"", ""P000076""]","[""P000132"", ""P000213"", ""P000122"", ""P000192"", ""P000071"", ""P000166"", ""P000039"", ""P000143"", ""P000131"", ""P000076"", ""P000022"", ""P000132""]","{
  ""episode_id"": ""E00001"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000039"", ""P000143"", ""P000131"", ""P000076""],
  ""ranked_patient_ids"": [
    ""P000132"",
    ""P000213"",
    ""P000122"",
    ""P000192"",
    ""P000071"",
    ""P000166"",
    ""P000039"",
    ""P000143"",
    ""P000131"",
    ""P000076"",
    ""P000022"",
    ""P000132""
  ],
  ""rationales"": {
    ""P000039"": ""high_occupancy, wait_minutes=120.0"",
    ""P000143"": ""triage_acuity=3.0, arrival_transport=WALK IN, wait_minutes=0.0"",
    ""P000131"": ""triage_acuity=2.0, wait_minutes=111.0"",
    ""P000076"": ""triage_acuity=3.0, first_sbp=90.0""
  },
  ""notes"": """"
}"
E00001,ollama,llama3.2:latest,social_worker,ok,2026-04-24T01:08:58.185581+00:00,1,4,"[""P000039"", ""P000143"", ""P000131"", ""P000076""]","[""P000039"", ""P000143"", ""P000131"", ""P000076"", ""P000132"", ""P000122"", ""P000213"", ""P000192"", ""P000134"", ""P000071"", ""P000166"", ""P000022""]","```json
{
  ""episode_id"": ""E00001"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000039"", ""P000143"", ""P000131"", ""P000076""],
  ""ranked_patient_ids"": [
    ""P000039"",
    ""P000143"",
    ""P000131"",
    ""P000076"",
    ""P000132"",
    ""P000122"",
    ""P000213"",
    ""P000192"",
    ""P000134"",
    ""P000071"",
    ""P000166"",
    ""P000022""
  ],
  ""rationales"": {
    ""P000039"": ""High occupancy condition and unstable housing stability proxy."",
    ""P000143"": ""High triage acuity and lack of caregiver support."",
    ""P000131"": ""Unstable housing stability proxy and high triage acuity."",
    ""P000076"": ""High triage acuity and unstable housing stability proxy.""
  },
  ""notes"": """"
}
```"
E00001,ollama,llama3.2:latest,revenue,ok,2026-04-24T01:08:59.930044+00:00,1,4,"[""P000039"", ""P000143"", ""P000131"", ""P000076""]","[""P000039"", ""P000143"", ""P000131"", ""P000076"", ""P000132"", ""P000122"", ""P000213"", ""P000192"", ""P000134"", ""P000071"", ""P000166"", ""P000022""]","```json
{
  ""episode_id"": ""E00001"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000039"", ""P000143"", ""P000131"", ""P000076""],
  ""ranked_patient_ids"": [
    ""P000039"",
    ""P000143"",
    ""P000131"",
    ""P000076"",
    ""P000132"",
    ""P000122"",
    ""P000213"",
    ""P000192"",
    ""P000134"",
    ""P000071"",
    ""P000166"",
    ""P000022""
  ],
  ""rationales"": {
    ""P000039"": ""High occupancy condition and unstable patient with abdominal distention."",
    ""P000143"": ""Unstable patient with right-sided abdominal pain and no caregiver present."",
    ""P000131"": ""Unstable patient with abdominal pain, nausea/vomiting/diarrhea, and no caregiver present."",
    ""P000076"": ""High triage acuity with hematuria and dysuria, unstable patient.""
  },
  ""notes"": """"
}
```"
E00001,ollama,llama3.2:latest,psychiatry,ok,2026-04-24T01:09:01.726671+00:00,1,4,"[""P000039"", ""P000143"", ""P000131"", ""P000132""]","[""P000039"", ""P000143"", ""P000131"", ""P000132"", ""P000122"", ""P000213"", ""P000192"", ""P000134"", ""P000076"", ""P000166"", ""P000132"", ""P000071""]","```json
{
  ""episode_id"": ""E00001"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000039"", ""P000143"", ""P000131"", ""P000132""],
  ""ranked_patient_ids"": [
    ""P000039"",
    ""P000143"",
    ""P000131"",
    ""P000132"",
    ""P000122"",
    ""P000213"",
    ""P000192"",
    ""P000134"",
    ""P000076"",
    ""P000166"",
    ""P000132"",
    ""P000071""
  ],
  ""rationales"": {
    ""P000039"": ""Abdominal distention and abdominal pain, indicating potential surgical instability."",
    ""P000143"": ""Right-sided abdominal pain with elevated blood pressure, suggesting possible acute abdomen or other serious condition requiring immediate attention."",
    ""P000131"": ""Abdominal pain and vomiting/diarrhea, indicating potential gastrointestinal distress that requires close monitoring."",
    ""P000132"": ""SDH/SAH, indicating severe head injury requiring immediate surgical intervention.""
  },
  ""notes"": """"
}
```"
E00002,ollama,llama3.2:latest,none,ok,2026-04-24T01:09:03.408202+00:00,1,4,"[""P000095"", ""P000085"", ""P000035"", ""P000185""]","[""P000095"", ""P000085"", ""P000035"", ""P000185"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000099"", ""P000025""]","{
  ""episode_id"": ""E00002"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000095"", ""P000085"", ""P000035"", ""P000185""],
  ""ranked_patient_ids"": [""P000095"", ""P000085"", ""P000035"", ""P000185"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000099"", ""P000025""],
  ""rationales"": {
    ""P000095"": ""Triage acuity of 2.0 indicates moderate urgency."",
    ""P000085"": ""Triage acuity of 2.0 and respiratory symptoms indicate moderate urgency."",
    ""P000035"": ""Triage acuity of 2.0 and altered mental status indicate moderate urgency."",
    ""P000185"": ""Triage acuity of 2.0 and chest pain, nausea indicate moderate urgency.""
  },
  ""notes"": """"
}"
E00002,ollama,llama3.2:latest,social_worker,ok,2026-04-24T01:09:05.173238+00:00,1,4,"[""P000035"", ""P000099"", ""P000085"", ""P000185""]","[""P000035"", ""P000099"", ""P000085"", ""P000185"", ""P000095"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000025""]","```json
{
  ""episode_id"": ""E00002"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000035"", ""P000099"", ""P000085"", ""P000185""],
  ""ranked_patient_ids"": [
    ""P000035"",
    ""P000099"",
    ""P000085"",
    ""P000185"",
    ""P000095"",
    ""P000151"",
    ""P000050"",
    ""P000077"",
    ""P000019"",
    ""P000170"",
    ""P000067"",
    ""P000025""
  ],
  ""rationales"": {
    ""P000035"": ""Altered mental status with unstable housing stability proxy and no caregiver present."",
    ""P000099"": ""Abnormal EKG with unstable housing stability proxy and uninsured coverage proxy."",
    ""P000085"": ""Dyspnea with unstable housing stability proxy and yes caregiver present but private coverage proxy."",
    ""P000185"": ""Chest pain with unstable housing stability proxy and no caregiver present.""
  },
  ""notes"": """"
}
```"
E00002,ollama,llama3.2:latest,revenue,ok,2026-04-24T01:09:06.944154+00:00,1,4,"[""P000035"", ""P000085"", ""P000185"", ""P000099""]","[""P000035"", ""P000085"", ""P000185"", ""P000099"", ""P000095"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000025""]","```json
{
  ""episode_id"": ""E00002"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000035"", ""P000085"", ""P000185"", ""P000099""],
  ""ranked_patient_ids"": [
    ""P000035"",
    ""P000085"",
    ""P000185"",
    ""P000099"",
    ""P000095"",
    ""P000151"",
    ""P000050"",
    ""P000077"",
    ""P000019"",
    ""P000170"",
    ""P000067"",
    ""P000025""
  ],
  ""rationales"": {
    ""P000035"": ""Altered mental status with high wait time and unstable housing proxy."",
    ""P000085"": ""Dyspnea and productive cough with low oxygen saturation and unstable housing proxy."",
    ""P000185"": ""Chest pain and nausea with high wait time and private coverage proxy."",
    ""P000099"": ""Transfer with abnormal EKG, high wait time, and unstable housing proxy.""
  },
  ""notes"": """"
}
```"
E00002,ollama,llama3.2:latest,psychiatry,ok,2026-04-24T01:09:08.699492+00:00,1,4,"[""P000035"", ""P000085"", ""P000185"", ""P000170""]","[""P000035"", ""P000085"", ""P000185"", ""P000170"", ""P000095"", ""P000151"", ""P000050"", ""P000077"", ""P000067"", ""P000099"", ""P000019"", ""P000025""]","```json
{
  ""episode_id"": ""E00002"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000035"", ""P000085"", ""P000185"", ""P000170""],
  ""ranked_patient_ids"": [
    ""P000035"",
    ""P000085"",
    ""P000185"",
    ""P000170"",
    ""P000095"",
    ""P000151"",
    ""P000050"",
    ""P000077"",
    ""P000067"",
    ""P000099"",
    ""P000019"",
    ""P000025""
  ],
  ""rationales"": {
    ""P000035"": ""Altered mental status with low oxygen saturation and blood pressure, indicating potential instability."",
    ""P000085"": ""Dyspnea and productive cough with low oxygen saturation, suggesting respiratory compromise."",
    ""P000185"": ""Chest pain and nausea with elevated heart rate, indicating potential cardiac concern."",
    ""P000170"": ""Psychiatric hold with no clear medical stability, requiring close monitoring.""
  },
  ""notes"": """"
}
```"
E00003,ollama,llama3.2:latest,none,ok,2026-04-24T01:09:10.447374+00:00,1,4,"[""P000181"", ""P000179"", ""P000155"", ""P000004""]","[""P000181"", ""P000179"", ""P000155"", ""P000004"", ""P000127"", ""P000216"", ""P000072"", ""P000031"", ""P000086"", ""P000069"", ""P000104"", ""P000030""]","{
  ""episode_id"": ""E00003"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000181"", ""P000179"", ""P000155"", ""P000004""],
  ""ranked_patient_ids"": [
    ""P000181"",
    ""P000179"",
    ""P000155"",
    ""P000004"",
    ""P000127"",
    ""P000216"",
    ""P000072"",
    ""P000031"",
    ""P000086"",
    ""P000069"",
    ""P000104"",
    ""P000030""
  ],
  ""rationales"": {
    ""P000181"": ""Triage acuity of 2.0 indicates moderate urgency."",
    ""P000179"": ""Triage acuity of 2.0 indicates moderate urgency."",
    ""P000155"": ""Triage acuity of 2.0 indicates moderate urgency."",
    ""P000004"": ""Triage acuity of 1.0 indicates high urgency.""
  },
  ""notes"": """"
}"
E00003,ollama,llama3.2:latest,social_worker,ok,2026-04-24T01:09:12.355596+00:00,1,4,"[""P000181"", ""P000179"", ""P000155"", ""P000031""]","[""P000181"", ""P000179"", ""P000155"", ""P000031"", ""P000104"", ""P000030"", ""P000127"", ""P000216"", ""P000072"", ""P000086"", ""P000069"", ""P000004""]","```json
{
  ""episode_id"": ""E00003"",
  ""capacity"": 4,
  ""admitted_patient_ids"": [""P000181"", ""P000179"", ""P000155"", ""P000031""],
  ""ranked_patient_ids"": [
    ""P000181"",
    ""P000179"",
    ""P000155"",
    ""P000031"",
    ""P000104"",
    ""P000030"",
    ""P000127"",
    ""P000216"",
    ""P000072"",
    ""P000086"",
    ""P000069"",
    ""P000004""
  ],
  ""rationales"": {
    ""P000181"": ""Triage acuity of 2.0 indicates moderate urgency, and caregiver present is no, indicating potential instability."",
    ""P000179"": ""Triage acuity of 2.0 indicates moderate urgency, and caregiver present is no, indicating potential instability."",
    ""P000155"": ""Triage acuity of 2.0 indicates moderate urgency, and caregiver present is yes, but housing stability proxy is unstable, indicating potential barriers to safe discharge."",
    ""P000031"": ""Triage acuity of 2.0 indicates moderate urgency, and caregiver present is no, indicating potential instability.""
  },
  ""notes"": """"
}
```"
