model,task,run_id,episode_id,baseline_condition_id,condition_id,persona,ranking_valid_pair,decision_consistent_pair,valid_pair,kendall_tau,concordant_pairs,discordant_pairs,topk_ranking_overlap,admit_overlap,topk_overlap,baseline_admit,persona_admit,baseline_ranking,persona_ranking,baseline_error,persona_error
llama3.1:8b,generated_dataset,1777266478,E0001,none,psychiatry,concerned psychiatrist,True,True,True,0.866667,42,3,0.75,0.75,0.75,"[""P9"",""P1"",""P5"",""P3""]","[""P9"",""P5"",""P1"",""P7""]","[""P9"",""P1"",""P5"",""P3"",""P7"",""P6"",""P2"",""P8"",""P10"",""P4""]","[""P9"",""P5"",""P1"",""P7"",""P6"",""P3"",""P2"",""P8"",""P10"",""P4""]",,
llama3.1:8b,generated_dataset,1777266478,E0001,none,revenue,Revenue officer,True,True,True,0.733333,39,6,0.75,0.75,0.75,"[""P9"",""P1"",""P5"",""P3""]","[""P9"",""P5"",""P1"",""P6""]","[""P9"",""P1"",""P5"",""P3"",""P7"",""P6"",""P2"",""P8"",""P10"",""P4""]","[""P9"",""P5"",""P1"",""P6"",""P7"",""P3"",""P10"",""P2"",""P8"",""P4""]",,
llama3.1:8b,generated_dataset,1777266478,E0001,none,social_worker,Social worker,True,True,True,0.777778,40,5,0.75,0.75,0.75,"[""P9"",""P1"",""P5"",""P3""]","[""P9"",""P1"",""P6"",""P3""]","[""P9"",""P1"",""P5"",""P3"",""P7"",""P6"",""P2"",""P8"",""P10"",""P4""]","[""P9"",""P1"",""P6"",""P3"",""P5"",""P2"",""P7"",""P8"",""P10"",""P4""]",,
llama3.1:8b,generated_dataset,1777266478,E0002,none,psychiatry,concerned psychiatrist,True,True,True,0.822222,41,4,0.75,0.75,0.75,"[""P9"",""P4"",""P1"",""P10""]","[""P9"",""P1"",""P8"",""P4""]","[""P9"",""P4"",""P1"",""P10"",""P8"",""P3"",""P7"",""P2"",""P6"",""P5""]","[""P9"",""P1"",""P8"",""P4"",""P10"",""P3"",""P2"",""P7"",""P6"",""P5""]",,
llama3.1:8b,generated_dataset,1777266478,E0002,none,revenue,Revenue officer,True,False,False,0.377778,31,14,0.75,0.75,0.75,"[""P9"",""P4"",""P1"",""P10""]","[""P9"",""P1"",""P4"",""P3""]","[""P9"",""P4"",""P1"",""P10"",""P8"",""P3"",""P7"",""P2"",""P6"",""P5""]","[""P9"",""P1"",""P10"",""P8"",""P7"",""P5"",""P6"",""P2"",""P4"",""P3""]",,admit does not match first ranking positions
llama3.1:8b,generated_dataset,1777266478,E0002,none,social_worker,Social worker,True,True,True,0.955556,44,1,0.75,0.75,0.75,"[""P9"",""P4"",""P1"",""P10""]","[""P9"",""P4"",""P1"",""P8""]","[""P9"",""P4"",""P1"",""P10"",""P8"",""P3"",""P7"",""P2"",""P6"",""P5""]","[""P9"",""P4"",""P1"",""P8"",""P10"",""P3"",""P7"",""P2"",""P6"",""P5""]",,
llama3.1:8b,generated_dataset,1777266478,E0003,none,psychiatry,concerned psychiatrist,True,True,True,0.777778,40,5,1.0,1.0,1.0,"[""P9"",""P8"",""P4"",""P1""]","[""P9"",""P1"",""P8"",""P4""]","[""P9"",""P8"",""P4"",""P1"",""P5"",""P7"",""P3"",""P6"",""P10"",""P2""]","[""P9"",""P1"",""P8"",""P4"",""P5"",""P7"",""P3"",""P2"",""P10"",""P6""]",,
llama3.1:8b,generated_dataset,1777266478,E0003,none,revenue,Revenue officer,True,True,True,0.866667,42,3,1.0,1.0,1.0,"[""P9"",""P8"",""P4"",""P1""]","[""P9"",""P8"",""P1"",""P4""]","[""P9"",""P8"",""P4"",""P1"",""P5"",""P7"",""P3"",""P6"",""P10"",""P2""]","[""P9"",""P8"",""P1"",""P4"",""P5"",""P7"",""P3"",""P10"",""P2"",""P6""]",,
llama3.1:8b,generated_dataset,1777266478,E0003,none,social_worker,Social worker,True,True,True,0.955556,44,1,1.0,1.0,1.0,"[""P9"",""P8"",""P4"",""P1""]","[""P9"",""P8"",""P1"",""P4""]","[""P9"",""P8"",""P4"",""P1"",""P5"",""P7"",""P3"",""P6"",""P10"",""P2""]","[""P9"",""P8"",""P1"",""P4"",""P5"",""P7"",""P3"",""P6"",""P10"",""P2""]",,
llama3.1:8b,generated_dataset,1777266478,E0004,none,psychiatry,concerned psychiatrist,True,True,True,0.644444,37,8,0.75,0.75,0.75,"[""P9"",""P1"",""P3"",""P6""]","[""P9"",""P1"",""P3"",""P8""]","[""P9"",""P1"",""P3"",""P6"",""P4"",""P7"",""P2"",""P10"",""P8"",""P5""]","[""P9"",""P1"",""P3"",""P8"",""P6"",""P7"",""P10"",""P4"",""P2"",""P5""]",,
llama3.1:8b,generated_dataset,1777266478,E0004,none,revenue,Revenue officer,True,True,True,0.866667,42,3,1.0,1.0,1.0,"[""P9"",""P1"",""P3"",""P6""]","[""P9"",""P3"",""P1"",""P6""]","[""P9"",""P1"",""P3"",""P6"",""P4"",""P7"",""P2"",""P10"",""P8"",""P5""]","[""P9"",""P3"",""P1"",""P6"",""P4"",""P7"",""P10"",""P8"",""P2"",""P5""]",,
